OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
001_03112024	0	L_001_1_03112024.MP4	23952	R_001_1_03112024.MP4	24100	13.31997		-1.00000	-9.82597	-85.83348	-1320.60287	0.81547	0.85769	4.52185	4.65729	1323.42581	3.61470								Sync		
003	0	L_GX010079.MP4	92	GX010095.MP4	238	0.05116		-1.00000	36.99511	40.28071	-743.55635	0.47986	0.46703	1.49662	2.42653	745.56503	4.25505								SYNC		
GX010093_005	0	GX010093.MP4	1572	R_GX010089.MP4	1377	0.87421		-1.00000																	Sync		
006	0	L_GX010083.MP4	3418	GX012828.MP4	3284	1.90079		-1.00000	44.50257	40.35968	-459.46607	0.31498	0.29786	0.68546	5.36785	463.37723	7.56942								SYNC		
006	6	L_GX010083.MP4	42168	GX012828.MP4	42034	23.45009	1	18.79544	853.00135	410.61063	-1308.63539	3.28281	1.80227	5.29977	0.55324	1615.15912	35.95948	Labridae	Achoerodus	gouldii	37384002	1	AD	Passing			
006	7	L_GX010083.MP4	42563	GX012828.MP4	42429	23.66976	1	19.01511	2725.28865	378.90551	-4289.26279	34.53631	5.38615	55.72888	4.71946	5095.93396	32.70437	Labridae	Olisthops	cyanomelas	37385001	1	AD	Passing			
006	25	L_GX010083.MP4	114815	GX012828.MP4	114681	63.84990	1	59.19525	-0.87553	137.53061	-612.51871	0.40079	0.45724	1.16960	6.18169	627.76955	12.83195	Dasyatidae	Bathytoshia	brevicaudata	37035001	1	AD	Passing			
GX012828	0	L_GX012828.MP4	7706	GX010096.MP4	7579	4.28539		-1.00000	-84.29182	32.04881	-896.04980	0.59258	0.55710	2.07728	17.25794	900.57619	5.84221								Sync		
GX012828	3	L_GX012828.MP4	11846	GX010096.MP4	11719	6.58769	1	0.98877	-2074.58627	1661.18510	-3949.99257	20.87002	16.84002	40.42716	6.33954	4760.87024	34.09385	Chaetodontidae	Chelmonops	curiosus	37365066	2	AD	Passing			
GX012828	6	L_GX012828.MP4	16906	GX010096.MP4	16779	9.40161	1	3.80269	-477.92076	214.48417	-775.50845	1.03050	0.65443	1.56517	0.78539	935.85526	34.14328	Pempherididae	Parapriacanthus	elongatus	37357002	300	AD	Passing			
GX012828	17	L_GX012828.MP4	33940	GX010096.MP4	33813	18.87441	1	13.27548	-3277.32660	1501.27093	-4999.00165	41.16390	18.99705	63.96817	0.48285	6163.17301	35.90227	Cheilodactylidae	Nemadactylus	valenciennesi	37377004	1	AD	Passing			
GX012828	18	L_GX012828.MP4	44348	GX010096.MP4	44221	24.66242	1	19.06349	-1816.24549	936.35825	-2590.87846	11.53549	6.16756	16.93993	0.78000	3299.72206	38.37979	Tetraodontidae	Omegophora	spp		1	AD	Passing			
GX012828	23	L_GX012828.MP4	61378	GX010096.MP4	61251	34.13299	1	28.53406	-905.46865	844.03114	-2409.33717	5.70951	5.40504	15.15854	3.38138	2708.72066	27.36688	Plesiopidae	Trachinops	noarlungae	37316017	27	AD	Passing			
GX012828	24	L_GX012828.MP4	66404	GX010096.MP4	66277	36.92800	1	31.32908	-1093.62452	823.75886	-3802.71706	10.68651	8.13896	36.94277	4.07087	4041.68904	19.95540	Muraenidae	Gymnothorax	prasinus	37060006	1	AD	Passing			
GX012828	25	L_GX012828.MP4	89269	GX010096.MP4	89142	49.64348	1	44.04456	206.14207	288.29758	-713.79891	0.57177	0.68974	1.32813	0.65169	796.94349	26.61271	Serranidae	Othos	dentex	37311005	1	AD	Passing			
GX012828	26	L_GX012828.MP4	93759	GX010096.MP4	93632	52.14042	1	46.54149	-2048.96898	1658.94004	-4579.67455	24.12104	19.58671	54.55314	1.63563	5284.29513	30.08822	Labridae	Olisthops	cyanomelas	37385001	1	AD	Passing			
