OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
001	0	0	1037.56558	610.52239	830.05247	616.56716
003	0	0	1247.09339	479.55224	711.18573	469.47761
005	0	0	1329.69570	521.86567	749.46485	515.82090
006	0	0	1414.31270	451.34328	670.89192	431.19403
006	1	0	1576.22772	417.30693	1657.93069	403.07921
006	1	1	1515.21782	354.96040	1582.10891	334.00000
006	2	0	918.56436	156.72277	1007.95050	155.02970
006	2	1	847.70297	122.97030	930.72277	126.11881
006	3	0	963.70297	205.51485	892.76238	207.47525
006	3	1	1093.73267	251.70297	1007.90099	246.69307
006	4	0	890.94059	424.12871	644.97030	429.62376
006	4	1	766.24752	10.59406	522.66337	43.38614
006	5	0	1326.77228	87.73267	1320.79208	51.62376
006	5	1	1165.01980	205.19802	1127.41584	192.24752
006	6	0	1657.42574	205.54455	1677.62376	152.07921
006	7	0	1540.99010	439.60396	1805.94059	422.97030
006	8	0	1314.33663	322.57426	1498.90099	304.37624
006	8	1	1105.81188	179.01980	1253.91089	163.26733
006	9	0	1652.05941	453.14851	1634.96040	444.52475
006	9	1	1365.73267	379.46535	1357.17822	368.37624
006	10	0	924.23762	145.87129	969.20792	144.88119
006	10	1	1089.90099	230.19802	1138.00000	220.58416
006	11	0	1063.43564	327.93069	874.20792	330.91089
006	11	1	1452.30693	302.87129	1194.36634	284.33663
006	12	0	1469.02970	101.92079	1377.54455	55.84158
006	12	1	1322.29703	135.78218	1168.43564	111.12871
006	13	0	1602.64356	373.28713	1619.23762	352.61386
006	13	1	1412.24752	218.86139	1418.50495	188.31683
006	14	0	1448.93069	166.36634	1478.66337	126.68317
006	14	1	1677.42574	117.90099	1720.78218	44.78218
006	15	0	1278.63366	187.51485	1392.72277	161.04950
006	15	1	1185.77228	198.84158	1292.43564	179.97030
006	16	0	1411.34653	224.30693	1385.78218	195.61386
006	16	1	1561.92079	230.37624	1545.85149	190.95050
006	17	0	1287.53465	223.63366	1446.75248	198.54455
006	17	1	1236.64356	182.64356	1385.26733	157.35644
006	18	0	1219.72277	280.34653	1413.02970	263.56436
006	18	1	1162.09901	243.51485	1348.47525	227.02970
006	19	0	1271.37624	267.49505	1432.17822	246.97030
006	19	1	1329.99010	302.64356	1500.59406	282.61386
006	20	0	1860.39604	416.40594	1823.73267	395.30693
006	20	1	1408.66337	308.56436	1279.81188	290.31683
006	21	0	1418.62376	336.32673	1534.95050	316.16832
006	21	1	1272.05941	300.16832	1373.65347	284.04950
006	22	0	1728.28713	328.06931	1872.37624	287.98020
006	22	1	1455.90099	309.58416	1511.38614	285.84158
006	23	0	1325.47525	220.45545	1443.99010	193.35644
006	23	1	1149.63366	177.28713	1260.03960	159.15842
006	24	0	1506.11881	69.97030	1406.54455	17.33663
006	24	1	1810.93069	116.35644	1791.67327	35.14851
006	25	0	1190.49505	295.84158	687.92079	278.01980
007	0	0	1087.93284	459.40299	652.75971	540.00000
007	1	0	368.76733	222.21892	377.58911	259.62046
007	1	1	608.94554	167.00660	604.60396	201.13201
007	2	0	661.50990	281.08801	547.04455	316.36304
007	2	1	902.33168	386.55666	747.00000	414.88009
007	3	0	316.05823	58.08765	421.41097	109.72112
007	4	0	1250.15842	132.46535	830.14851	166.87129
007	4	1	956.23762	84.70297	668.70297	128.30693
007	5	0	808.53960	362.21782	649.47525	389.55336
007	5	1	623.23267	219.82838	396.69802	264.66007
007	6	0	518.16349	221.59363	73.10190	279.68127
007	7	0	557.82755	172.31873	318.33483	222.79681
007	7	1	431.87122	38.74104	160.24636	104.35458
007	8	0	751.53465	383.67327	551.94059	418.54455
007	8	1	584.12871	253.96040	432.73267	295.52475
007	9	0	678.31683	328.00990	402.61386	367.17822
007	9	1	337.51485	37.32673	24.25743	108.42574
007	10	0	1367.06931	114.92079	790.11881	152.16832
007	10	1	1013.07921	226.59406	637.92079	270.10891
007	11	0	896.57426	352.33223	745.69802	381.89879
007	11	1	799.34158	352.95050	556.15347	387.62046
007	12	0	865.75248	350.34983	694.49505	380.01430
007	12	1	754.80198	129.16722	630.73762	167.33993
007	13	0	972.74752	452.06491	635.59901	484.96700
007	13	1	1184.88614	270.74147	912.02970	301.28163
007	14	0	710.15347	186.23432	469.51485	232.30033
007	14	1	387.78218	37.00990	165.10396	106.91089
007	15	0	1765.19597	449.64143	1023.42665	529.24303
007	15	1	1317.98432	776.65339	408.51064	811.07570
007	16	0	335.61386	177.64026	232.62871	228.15512
007	16	1	488.86634	232.10011	389.66832	271.46205
007	17	0	142.57426	204.35644	304.15842	243.56436
007	18	0	137.82178	130.69307	211.48515	182.97030
007	19	0	413.57426	191.87129	360.89109	235.12871
007	19	1	177.44554	167.09901	143.32673	220.20792
007	20	0	509.20792	440.04510	350.01980	466.24202
007	20	1	434.82178	490.86799	286.94554	510.98570
007	21	0	612.36139	273.81298	529.17822	308.03740
