OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
006	1	L_GX010083.MP4	15623	GX012828.MP4	15489	8.68812	1	4.03347	139.58450	5.32531	0.21873	1978.59515	30.28020	12.44445	47.25008	969.56495	235.11760	-1708.65511	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
006	2	L_GX010083.MP4	15991	GX012828.MP4	15857	8.89277	1	4.23812	191.96674	13.38552	0.30277	2729.09033	19.07448	29.15837	12.49847	-30.45352	891.33832	-2579.24845	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
006	3	L_GX010083.MP4	16467	GX012828.MP4	16333	9.15748	1	4.50283	174.36833	3.40743	0.03645	1419.80230	15.32753	25.45657	23.91513	56.20065	371.07365	-1369.30070	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
006	4	L_GX010083.MP4	34934	GX012828.MP4	34800	19.42719	1	14.77254	331.01136	1.36183	0.97327	957.25029	19.14258	15.10531	72.74756	-190.20820	249.70988	-904.31960	Monacanthidae	Meuschenia	galii	37465040	2	AD	Passing			
006	5	L_GX010083.MP4	38644	GX012828.MP4	38510	21.49036	1	16.83571	324.20385	3.50052	0.11163	1672.17097	23.77131	9.36004	36.37103	400.85322	541.87988	-1530.30671	Monacanthidae	Meuschenia	flavolineata	37465035	3	AD	Passing			
006	8	L_GX010083.MP4	44784	GX012828.MP4	44650	24.90488	1	20.25023	923.34339	23.20611	0.19053	3970.64403	21.73443	16.84467	25.51279	1136.72767	932.61838	-3688.37189	Cheilodactylidae	Dactylophora	nigricans	37377005	1	AD	Passing			
006	9	L_GX010083.MP4	46686	GX012828.MP4	46552	25.96260	1	21.30795	385.46171	6.96959	0.18347	1526.18099	26.42904	55.91100	18.75652	661.97831	152.36479	-1366.67411	Labridae	Bodianus	frenchii	37384057	1	AD	Passing			
006	10	L_GX010083.MP4	48585	GX012828.MP4	48451	27.01866	1	22.36401	341.57930	3.77284	0.34036	2207.52188	17.53508	4.54189	27.37106	162.62880	644.91424	-2104.94426	Microcanthidae	Tilodon	sexfasciatus	37361003	1	AD	Passing			
006	11	L_GX010083.MP4	48610	GX012828.MP4	48476	27.03256	1	22.37791	335.00957	2.52980	0.67362	973.07466	14.48903	37.31386	1.75849	157.72749	185.45591	-942.12655	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
006	12	L_GX010083.MP4	48642	GX012828.MP4	48508	27.05036	1	22.39571	236.23505	2.73089	0.59259	1251.90971	27.76332	21.41486	18.78227	396.47024	427.65949	-1107.78907	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
006	13	L_GX010083.MP4	48860	GX012828.MP4	48726	27.17159	1	22.51694	339.40428	5.41726	0.11524	1660.45685	28.91137	43.41329	45.38376	733.00656	327.29494	-1453.51174	Microcanthidae	Tilodon	sexfasciatus	37361003	1	AD	Passing			
006	14	L_GX010083.MP4	55115	GX012828.MP4	54981	30.65006	1	25.99541	306.52479	8.54862	0.39480	1778.11558	33.91888	56.77748	2.29557	830.29740	543.24028	-1475.53084	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
006	15	L_GX010083.MP4	55163	GX012828.MP4	55029	30.67676	1	26.02211	214.87461	12.97161	0.16755	2834.64929	23.34756	20.60714	3.36914	785.29920	803.31707	-2602.54173	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
006	16	L_GX010083.MP4	55163	GX012828.MP4	55029	30.67676	1	26.02211	179.10544	5.55180	0.15086	1544.48903	29.03602	35.86337	9.56024	642.09754	386.85831	-1350.36949	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
006	17	L_GX010083.MP4	55216	GX012828.MP4	55082	30.70623	1	26.05158	212.40186	18.82744	0.52898	3588.70555	24.65294	17.43235	28.39701	1131.29017	980.28666	-3261.59901	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
006	18	L_GX010083.MP4	55267	GX012828.MP4	55133	30.73459	1	26.07994	285.20609	25.61414	0.85310	4968.15292	21.04995	1.90955	31.77601	1377.74674	1134.08371	-4636.61638	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
006	19	L_GX010083.MP4	55364	GX012828.MP4	55230	30.78854	1	26.13389	213.40795	17.14004	0.63921	3706.73544	24.02926	3.11735	30.11085	1300.04437	766.91358	-3385.50082	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
006	20	L_GX010083.MP4	69122	GX012828.MP4	68988	38.43951	1	33.78486	439.36615	2.72426	0.57405	1213.23762	30.82510	14.07907	15.52230	598.39761	168.56469	-1041.85017	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
006	21	L_GX010083.MP4	69177	GX012828.MP4	69043	38.47010	1	33.81545	319.27479	13.69854	0.30050	2581.39143	23.96637	29.26814	18.13503	939.34461	465.95505	-2358.83431	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
006	22	L_GX010083.MP4	69185	GX012828.MP4	69051	38.47455	1	33.81990	436.85385	7.60758	0.06766	2029.86650	32.94912	10.54275	4.78849	1048.96045	344.33893	-1703.37038	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
006	23	L_GX010083.MP4	76442	GX012828.MP4	76308	42.51025	1	37.85560	446.02266	17.18916	0.29232	2869.43541	23.32930	33.70209	20.76880	804.88808	802.13701	-2634.84174	Cheilodactylidae	Nemadactylus	valenciennesi	37377004	1	AD	Passing			
006	24	L_GX010083.MP4	91579	GX012828.MP4	91445	50.92810	1	46.27345	306.74039	2.99403	0.54417	1345.47131	36.71089	10.31531	11.47958	664.54567	453.06231	-1078.61329	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
007	1	L_GX012828.MP4	10128	GX010096.MP4	10001	5.63229	1	0.03337	513.18415	12.43708	0.10920	2794.64811	27.27867	24.53072	18.32472	-1037.25758	751.42932	-2483.84959	Labridae	Achoerodus	gouldii	37384002	1	AD	Passing			
007	2	L_GX012828.MP4	10225	GX010096.MP4	10098	5.68624	1	0.08731	397.96948	3.58914	1.18371	1732.53047	15.99401	15.26265	26.62785	-380.08031	288.83684	-1665.46512	Cheilodactylidae	Cheilodactylus	nigripes	37377001	1	AD	Passing			
007	4	L_GX012828.MP4	12608	GX010096.MP4	12481	7.01145	1	1.41252	346.70967	2.87831	0.68875	1090.22372	20.20154	47.66586	22.43270	-46.08891	373.64808	-1023.15721	Serranidae	Epinephelides	armatus	37311100	1	AD	Passing			
