OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
001	0	1	L_001_1_03112024.MP4	23976	13.33332	L_001_1_03112024.MP4	131868	73.33326	1
003	0	1	L_GX010079.MP4	1855	1.03159	L_GX010079.MP4	109747	61.03153	1
005	0	1	GX010093.MP4	5395	3.00022	GX010093.MP4	113287	63.00016	1
006	0	1	L_GX010083.MP4	8370	4.65465	L_GX010083.MP4	116262	64.65459	1
007	0	1	L_GX012828.MP4	10068	5.59893	L_GX012828.MP4	117960	65.59887	1
008	0	1	L_GX010077.MP4	8397	4.66967	L_GX010077.MP4	116289	64.66961	1
009	0	1	GX010095.MP4	6090	3.38672	GX010095.MP4	113983	63.38721	1
010	0	1	L_GX010096.MP4	8015	4.45724	L_GX010096.MP4	115907	64.45723	1
011	0	1	GX012829.MP4	10559	5.87198	GX012829.MP4	118451	65.87192	1
012	0	1	GX010084.MP4	8977	4.99221	GX010084.MP4	116869	64.99215	1
013	0	1	L_GX010094.MP4	1888	1.04994	L_GX010094.MP4	109780	61.04988	1
016	0	1	L_GX010079.MP4	7952	4.42220	L_GX010079.MP4	115844	64.42214	1
017	0	1	L_GX010095.MP4	2938	1.63385	L_GX010095.MP4	110830	61.63379	1
018	0	1	GX010085.MP4	10226	5.68679	GX010085.MP4	118118	65.68673	1
019	0	1	GX010086.MP4	4453	2.47636	GX010086.MP4	112345	62.47630	1
020	0	1	L_GX010096.MP4	5999	3.33611	L_GX010096.MP4	113891	63.33605	1
021	0	1	L_GX010080.MP4	6995	3.89000	L_GX010080.MP4	114887	63.88994	1
022	0	1	GX012830.MP4	5339	2.96908	GX012830.MP4	113231	62.96902	1
023	0	1	L_GX010097.MP4	5255	2.92236	L_GX010097.MP4	113147	62.92230	1
024	0	1	L_GX010082.MP4	7515	4.17917	L_GX010082.MP4	115407	64.17911	1
025	0	1	L_GX010083.MP4	7327	4.07463	L_GX010083.MP4	115219	64.07457	1
026	0	1	L_GX010081.MP4	10311	5.73406	L_GX010081.MP4	118203	65.73400	1
027	0	1	L_GX010097.MP4	4816	2.67823	L_GX010097.MP4	112708	62.67817	1
028	0	1	GX010087.MP4	17394	9.67300	GX010087.MP4	125286	69.67294	1
029	0	1	L_GX010098.MP4	7934	4.41219	L_GX010098.MP4	115826	64.41213	1
030	0	1	GX012831.MP4	12208	6.78900	GX012831.MP4	120100	66.78894	1
031	0	1	GX012832.MP4	10258	5.70459	GX012832.MP4	118150	65.70453	1
032	0	1	L_GX010099.MP4	3924	2.18218	L_GX010099.MP4	111816	62.18212	1
033	0	1	GX010088.MP4	4348	2.41797	GX010088.MP4	112240	62.41791	1
034	0	1	L_GX010098.MP4	4521	2.51418	L_GX010098.MP4	112413	62.51412	1
035	0	1	L_GX010082.MP4	8336	4.63574	L_GX010082.MP4	116228	64.63568	1
036	0	1	L_GX010084.MP4	5872	3.26548	L_GX010084.MP4	113764	63.26542	1
037	0	1	L_GX012833.MP4	4568	2.54032	L_GX012833.MP4	112460	62.54026	1
038	0	1	L_GX012833.MP4	6309	3.50850	L_GX012833.MP4	114201	63.50845	1
039	0	1	L_GX010099.MP4	4371	2.43076	L_GX010099.MP4	112263	62.43070	1
041	0	1	L_GX010101.MP4	4086	2.27227	L_GX010101.MP4	111978	62.27221	1
042	0	1	L_GX012833.MP4	19863	11.04603	L_GX012833.MP4	127755	71.04597	1
043	0	1	L_GX012834.MP4	2120	1.17896	L_GX012834.MP4	110012	61.17890	1
044	0	1	L_GX010102.MP4	3290	1.82961	L_GX010102.MP4	111182	61.82955	1
045	0	1	L_GX012835.MP4	6441	3.58191	L_GX012835.MP4	114333	63.58185	1
046	0	1	L_GX010100.MP4	4986	2.77277	L_GX010100.MP4	112878	62.77271	1
047	0	1	L_GX012834.MP4	8741	4.86097	L_GX012834.MP4	116633	64.86091	1
048	0	1	L_GX012834.MP4	2552	1.41920	L_GX012834.MP4	110444	61.41914	1
049	0	1	L_GX012835.MP4	12613	7.01423	L_GX012835.MP4	120505	67.01417	1
050	0	1	L_GX012835.MP4	3897	2.16716	L_GX012835.MP4	111789	62.16710	1
051	0	1	L_GX010101.MP4	6678	3.71371	L_GX010101.MP4	114570	63.71365	1
052	0	1	L_GX012836.MP4	1909	1.06162	L_GX012836.MP4	109801	61.06156	1
053	0	1	L_GX010103.MP4	7754	4.31209	L_GX010103.MP4	115646	64.31203	1
054	0	1	L_GX012835.MP4	12514	6.95917	L_GX012835.MP4	120406	66.95911	1
055	0	1	L_GX012836.MP4	3603	2.00367				0
057	0	1	L_GX012837.MP4	3248	1.80625	L_GX012837.MP4	111140	61.80619	1
058	0	1	L_GX010102.MP4	4672	2.59815	L_GX010102.MP4	112564	62.59809	1
059	0	1	L_GX012836.MP4	39975	22.23054	L_GX012836.MP4	144271	80.23071	1
060	0	1	L_GX012836.MP4	2485	1.38194	L_GX012836.MP4	110377	61.38188	1
061	0	1	L_GX012837.MP4	3604	2.00422	L_GX012837.MP4	111496	62.00416	1
062	0	1	GX010106.MP4	3362	1.86965	GX010106.MP4	111254	61.86959	1
063	0	1	L_GX010103.MP4	5742	3.19319	L_GX010103.MP4	113634	63.19313	1
064	0	1	L_GX012838.MP4	10877	6.04882	L_GX012838.MP4	116971	65.04887	1
065	0	1	L_GX010105.MP4	1389	0.77244	L_GX010105.MP4	109281	60.77238	1
066	0	1	L_GX012837.MP4	4162	2.31453	L_GX012837.MP4	112054	62.31447	1
067	0	1	L_GX012838.MP4	1561	0.86809	L_GX012838.MP4	109453	60.86803	1
068	0	1	L_GX013143.MP4	7691	4.27705	L_GX013143.MP4	115583	64.27699	1
069	0	1	L_GX012839.MP4	2676	1.48815	L_GX012839.MP4	110568	61.48809	1
070	0	1	L_GX010104.MP4	3031	1.68557	L_GX010104.MP4	110923	61.68551	1
072	0	1	L_GX012838.MP4	5959	3.31387	L_GX012838.MP4	113851	63.31381	1
073	0	1	L_GX012839.MP4	5146	2.86175	L_GX012839.MP4	113038	62.86169	1
074	0	1	L_GX013084.MP4	4959	2.75776	L_GX013084.MP4	112851	62.75770	1
075	0	1	L_GX010105.MP4	2975	1.65443	L_GX010105.MP4	110867	61.65437	1
076	0	1	L_GX012840.MP4	3896	2.16661	L_GX012840.MP4	111788	62.16655	1
077	0	1	L_GX013144.MP4	3161	1.75787	L_GX013144.MP4	111053	61.75781	1
078	0	1	L_GX012839.MP4	3348	1.86186	L_GX012839.MP4	111240	61.86180	1
079	0	1	L_GX012840.MP4	3416	1.89968	L_GX012840.MP4	111308	61.89962	1
080	0	1	L_GX013145.MP4	4660	2.59148	L_GX013145.MP4	112552	62.59142	1
081	0	1	L_GX012841.MP4	3565	1.98254	L_GX012841.MP4	111457	61.98248	1
082	0	1	L_GX010106.MP4	2925	1.62662	L_GX010106.MP4	110817	61.62656	1
