model,predictors,AICc,LL,mR2,cR2,RDF,n_predictors,adjAICc,deltaAICc,delta_adjAICc
bait + sd_relief + macroalgae + (1|location),sd_relief + macroalgae,601.9423537560643,-294.5195639748064,0.14274393066955787,0.21374581120681266,94,2,605.9423537560643,1.7217554206742989,0
bait + mean_relief + macroalgae + (1|location),mean_relief + macroalgae,602.2095784994224,-294.6531763464854,0.14512466062068463,0.2353600131877521,94,2,606.2095784994224,1.9889801640323412,0.26722474335804236
bait + mean_relief + sd_relief + macroalgae + (1|location),mean_relief + sd_relief + macroalgae,600.22059833539,-292.5016035155211,0.17907976982702878,0.23630627019485057,93,3,606.22059833539,0,0.2782445793257011
bait + scytothalia + (1|location),scytothalia,604.9326129648515,-297.1471575462555,0.10253385903252614,0.19672856445622997,95,1,606.9326129648515,4.712014629461464,0.9902592087871653
bait + sd_relief + macroalgae + ecklonia + (1|location),sd_relief + macroalgae + ecklonia,601.7223265884901,-293.2524676420711,0.16515955102594593,0.23788005165589163,93,3,607.7223265884901,1.5017282531000546,1.7799728324257558
bait + macroalgae + (1|location),macroalgae,605.7672483946021,-297.56447526113084,0.08891472085260077,0.20128229269776576,95,1,607.7672483946021,5.546650059212084,1.8248946385377849
bait + sd_relief + scytothalia + (1|location),sd_relief + scytothalia,603.8136993969932,-295.4552367952708,0.13232173491032115,0.20670713769025906,94,2,607.8136993969932,3.5931010616031926,1.8713456409288938
bait + sd_relief + (1|location),sd_relief,605.8194586183013,-297.5905803729804,0.08677158050077292,0.19945509976460524,95,1,607.8194586183013,5.598860282911232,1.8771048622369335
bait + mean_relief + scytothalia + (1|location),mean_relief + scytothalia,604.1146983872181,-295.6057362903833,0.1310292327879658,0.2100355080547553,94,2,608.1146983872181,3.8941000518281044,2.1723446311538055
bait + mean_relief + macroalgae + ecklonia + (1|location),mean_relief + macroalgae + ecklonia,602.3908133007649,-293.5867109982085,0.16255517726934843,0.25227699912789237,93,3,608.3908133007649,2.1702149653748393,2.4484595447005404
bait,none,608.5652250426464,-300.0720862055337,0.04481569914954352,0.19083801729088948,96,0,608.5652250426464,8.344626707256339,2.62287128658204
bait + mean_relief + macroalgae + depth_m + (1|location),mean_relief + macroalgae + depth_m,602.6165057924278,-293.69955724403997,0.15639536213865518,0.23790898370451552,93,3,608.6165057924278,2.395907457037765,2.6741520363634663
bait + macroalgae + ecklonia + (1|location),macroalgae + ecklonia,604.6735282072635,-295.88515120040597,0.1191831938736116,0.22789379912652263,94,2,608.6735282072635,4.4529298718734935,2.7311744511991947
bait + mean_relief + scytothalia + macroalgae + (1|location),mean_relief + scytothalia + macroalgae,602.6820384507015,-293.7323235731768,0.16497100692117314,0.23731126933489163,93,3,608.6820384507015,2.4614401153114613,2.7396846946371625
bait + mean_relief + canopy + (1|location),mean_relief + canopy,605.0808043514779,-296.08878927251317,0.12354383351443234,0.19961235882378567,94,2,609.0808043514779,4.860206016087886,3.1384505954135875
bait + sd_relief + canopy + (1|location),sd_relief + canopy,605.1933372435323,-296.14505571854033,0.11806219798336481,0.19214289537979898,94,2,609.1933372435323,4.972738908142219,3.25098348746792
bait + sd_relief + scytothalia + macroalgae + (1|location),sd_relief + scytothalia + macroalgae,603.3921505649247,-294.0873796302884,0.15571213130815392,0.21770993987983858,93,3,609.3921505649247,3.1715522295346545,3.4497968088603557
bait + sd_relief + macroalgae + depth_m + (1|location),sd_relief + macroalgae + depth_m,603.735437470906,-294.2590230832791,0.1449378013130271,0.21710016984391758,93,3,609.735437470906,3.514839135516013,3.793083714841714
bait + canopy + (1|location),canopy,607.7376762478121,-298.54968918773585,0.0746288033412825,0.18107354819754268,95,1,609.7376762478121,7.51707791242211,3.795322491747811
bait + scytothalia + macroalgae + (1|location),scytothalia + macroalgae,605.7471929965928,-296.42198359507063,0.11481308507196689,0.20467023285097857,94,2,609.7471929965928,5.526594661202807,3.8048392405285085
bait + scytothalia + depth_m + (1|location),scytothalia + depth_m,605.9577988397632,-296.5272865166558,0.11120691167213848,0.2051945077708345,94,2,609.9577988397632,5.737200504373163,4.015445083698864
bait + macroalgae + depth_m + (1|location),macroalgae + depth_m,606.1591433825841,-296.6279587880663,0.10112374333427195,0.20751309115570737,94,2,610.1591433825841,5.938545047194111,4.216789626519812
bait + mean_relief + sd_relief + scytothalia + (1|location),mean_relief + sd_relief + scytothalia,604.1654424223062,-294.4740255589792,0.1505906051550271,0.21467494884464036,93,3,610.1654424223062,3.9448440869161914,4.2230886662418925
bait + mean_relief + sd_relief + canopy + (1|location),mean_relief + sd_relief + canopy,604.1738947690948,-294.47825173237345,0.1532629087392645,0.20472289316906764,93,3,610.1738947690948,3.953296433704736,4.231541013030437
bait + mean_relief + (1|location),mean_relief,608.7997350735438,-299.0807186006017,0.06180383414155057,0.19680886347195375,95,1,610.7997350735438,8.579136738153807,4.857381317479508
bait + mean_relief + sd_relief + (1|location),mean_relief + sd_relief,607.0911079418959,-297.09394106772214,0.09431172181841588,0.20132857969792212,94,2,611.0911079418959,6.870509606505834,5.148754185831535
bait + scytothalia + ecklonia + (1|location),scytothalia + ecklonia,607.1161732540814,-297.10647372381493,0.10392371599272453,0.19509049797732866,94,2,611.1161732540814,6.895574918691409,5.17381949801711
bait + mean_relief + scytothalia + depth_m + (1|location),mean_relief + scytothalia + depth_m,605.2898403310261,-295.0362245133391,0.13871915358526063,0.21711057952287813,93,3,611.2898403310261,5.069241995636048,5.347486574961749
bait + depth_m + (1|location),depth_m,609.298641484249,-299.33017180595425,0.05869743715298161,0.20456696169029417,95,1,611.298641484249,9.07804314885891,5.356287728184611
bait + mean_relief + canopy + depth_m + (1|location),mean_relief + canopy + depth_m,605.4071017261157,-295.0948552108839,0.1384899866204523,0.20522596469764967,93,3,611.4071017261157,5.1865033907256475,5.464747970051349
bait + mean_relief + scytothalia + ecklonia + (1|location),mean_relief + scytothalia + ecklonia,605.420867455865,-295.1017380757586,0.14377732487951922,0.21059519915206087,93,3,611.420867455865,5.2002691204750136,5.478513699800715
bait + macroalgae + depth_m + ecklonia + (1|location),macroalgae + depth_m + ecklonia,605.6069205607788,-295.19476462821547,0.12829681282504987,0.2330088650812123,93,3,611.6069205607788,5.386322225388767,5.664566804714468
bait + sd_relief + depth_m + (1|location),sd_relief + depth_m,607.6942433250955,-297.39550875932196,0.09077128098157278,0.20713142672803964,94,2,611.6942433250955,7.473644989705463,5.751889569031164
bait + sd_relief + scytothalia + depth_m + (1|location),sd_relief + scytothalia + depth_m,605.7526160844776,-295.26761239006487,0.13402145574895447,0.2112942612997558,93,3,611.7526160844776,5.532017749087572,5.810262328413273
bait + sd_relief + scytothalia + ecklonia + (1|location),sd_relief + scytothalia + ecklonia,605.8783111396934,-295.3304599176728,0.13621946516735364,0.20401239705893806,93,3,611.8783111396934,5.657712804303401,5.935957383629102
bait + sd_relief + ecklonia + (1|location),sd_relief + ecklonia,608.0815456840635,-297.58915993880595,0.08678883055491803,0.19893090910058053,94,2,612.0815456840635,7.860947348673449,6.13919192799915
bait + canopy + depth_m + (1|location),canopy + depth_m,608.1589757085133,-297.62787495103083,0.08793134783495739,0.18862209644530062,94,2,612.1589757085133,7.938377373123217,6.216621952448918
bait + scytothalia + macroalgae + depth_m + (1|location),scytothalia + macroalgae + depth_m,606.5069163931068,-295.6447625443795,0.12425901327778589,0.21068139574448955,93,3,612.5069163931068,6.286318057716812,6.564562637042513
bait + ecklonia + (1|location),ecklonia,610.7227181214818,-300.04221012457066,0.045346308942497464,0.19305358629304495,95,1,612.7227181214818,10.502119786091725,6.780364365417427
bait + scytothalia + macroalgae + ecklonia + (1|location),scytothalia + macroalgae + ecklonia,606.8706484511889,-295.8266285734205,0.12160699641986485,0.2241222545854161,93,3,612.8706484511889,6.6500501157988765,6.928294695124578
bait + sd_relief + canopy + depth_m + (1|location),sd_relief + canopy + depth_m,606.9334859026051,-295.8580472991286,0.12109597671459447,0.19661842305520483,93,3,612.9334859026051,6.712887567215034,6.9911321465407354
bait + mean_relief + depth_m + (1|location),mean_relief + depth_m,609.6546161840432,-298.3756951887958,0.07490275153773138,0.20975567601576944,94,2,613.6546161840432,9.434017848653184,7.712262427978885
bait + scytothalia + depth_m + ecklonia + (1|location),scytothalia + depth_m + ecklonia,608.0851332659082,-296.43387098078017,0.11323942882135278,0.201815268558608,93,3,614.0851332659082,7.864534930518175,8.142779509843876
bait + mean_relief + sd_relief + depth_m + (1|location),mean_relief + sd_relief + depth_m,608.9629976133273,-296.8728031544897,0.09895636670974003,0.2095572705098728,93,3,614.9629976133273,8.742399277937238,9.02064385726294
bait + mean_relief + ecklonia + (1|location),mean_relief + ecklonia,611.0094340119216,-299.053104102735,0.06250529276260144,0.19534593404095968,94,2,615.0094340119216,10.788835676531562,9.067080255857263
bait + mean_relief + sd_relief + ecklonia + (1|location),mean_relief + sd_relief + ecklonia,609.251870004527,-297.01723935008954,0.09581070009705682,0.19812670840799074,93,3,615.251870004527,9.031271669136913,9.309516248462614
bait + depth_m + ecklonia + (1|location),depth_m + ecklonia,611.5555857696884,-299.3261799816184,0.058897632353043676,0.20549447344221822,94,2,615.5555857696884,11.334987434298341,9.613232013624042
bait + sd_relief + depth_m + ecklonia + (1|location),sd_relief + depth_m + ecklonia,609.9960080832631,-297.3893083894576,0.0907788088119755,0.20600841886776575,93,3,615.9960080832631,9.775409747873027,10.053654327198728
bait + mean_relief + depth_m + ecklonia + (1|location),mean_relief + depth_m + ecklonia,611.8103462216424,-298.29647745864725,0.07615469038191737,0.20670731941983952,93,3,617.8103462216424,11.589747886252326,11.867992465578027
