model,predictors,AICc,LL,mR2,cR2,RDF,n_predictors,adjAICc,deltaAICc,delta_adjAICc
bait + canopy + (1|location),canopy,953.0810578127597,-470.08891600315405,0.14104316274886297,0.14104316538021405,94,1,955.0810578127597,0,0
bait + ecklonia + (1|location),ecklonia,955.6867552613295,-471.39176472743895,0.11372703264401958,0.11372703504418868,94,1,957.6867552613295,2.6056974485697992,2.6056974485697992
bait + canopy + depth_m + (1|location),canopy + depth_m,954.2708360183399,-469.526722356996,0.1502087783785909,0.15020878002001944,93,2,958.2708360183399,1.1897782055801827,3.1897782055801827
bait + scytothalia + ecklonia + (1|location),scytothalia + ecklonia,954.3503585352394,-469.56648361544575,0.150345433637372,0.15034543596541583,93,2,958.3503585352394,1.2693007224796702,3.26930072247967
bait + mean_relief + canopy + (1|location),mean_relief + canopy,954.6026208936614,-469.6926147946568,0.14450691633942656,0.14450691838820412,93,2,958.6026208936614,1.5215630809017284,3.5215630809017284
bait + sd_relief + canopy + (1|location),sd_relief + canopy,955.2965264149474,-470.03956755529975,0.14133444245861837,0.14133444481797292,93,2,959.2965264149474,2.215468602187684,4.215468602187684
bait + depth_m + ecklonia + (1|location),depth_m + ecklonia,956.7519376344873,-470.7672731650697,0.12334614524362068,0.12334614706684284,93,2,960.7519376344873,3.670879821727567,5.670879821727567
bait + mean_relief + ecklonia + (1|location),mean_relief + ecklonia,956.9644248797445,-470.8735167876983,0.11843289971429485,0.11843290133496624,93,2,960.9644248797445,3.8833670669847606,5.883367066984761
bait + sd_relief + ecklonia + (1|location),sd_relief + ecklonia,957.0832224267414,-470.93291556119675,0.12113317307429185,0.1211331743735874,93,2,961.0832224267414,4.002164613981677,6.002164613981677
bait + scytothalia + depth_m + ecklonia + (1|location),scytothalia + depth_m + ecklonia,955.2849129681568,-468.8512476928696,0.16097443735538966,0.16097443878924791,92,3,961.2849129681568,2.20385515539715,6.20385515539715
bait + macroalgae + ecklonia + (1|location),macroalgae + ecklonia,957.3911671995047,-471.0868879475784,0.11936131461150241,0.11936131755673524,93,2,961.3911671995047,4.310109386745012,6.310109386745012
bait + mean_relief + canopy + depth_m + (1|location),mean_relief + canopy + depth_m,955.6427779384094,-469.0301801779959,0.15695034002504088,0.15695034193790125,92,3,961.6427779384094,2.5617201256496855,6.5617201256496855
bait + scytothalia + macroalgae + ecklonia + (1|location),scytothalia + macroalgae + ecklonia,955.7511741202412,-469.0843782689118,0.15954100039863175,0.15954100156010512,92,3,961.7511741202412,2.6701163074815213,6.670116307481521
bait + macroalgae + (1|location),macroalgae,960.1120051280022,-473.6043896607753,0.06812315648745722,0.06812316321125547,94,1,962.1120051280022,7.030947315242543,7.030947315242543
bait + mean_relief + scytothalia + ecklonia + (1|location),mean_relief + scytothalia + ecklonia,956.2358716759134,-469.32672704674786,0.15074097103900028,0.15074097247263465,92,3,962.2358716759134,3.154813863153663,7.154813863153663
