model,predictors,AICc,LL,mR2,cR2,RDF,n_predictors,adjAICc,deltaAICc,delta_adjAICc
bait + canopy + (1|location),canopy,953.0810578127591,-470.08891600315377,0.14104316274885764,0.1410431653802087,94,1,955.0810578127591,0,0
bait + ecklonia + (1|location),ecklonia,955.6867552613301,-471.39176472743924,0.11372703264401933,0.11372703504418843,94,1,957.6867552613301,2.605697448570936,2.605697448570936
bait + canopy + depth_m + (1|location),canopy + depth_m,954.2708360183399,-469.526722356996,0.15020877837859012,0.15020878002001867,93,2,958.2708360183399,1.189778205580751,3.189778205580751
bait + scytothalia + ecklonia + (1|location),scytothalia + ecklonia,954.3503585352387,-469.5664836154454,0.1503454336370946,0.15034543596514133,93,2,958.3503585352387,1.2693007224795565,3.2693007224795565
bait + mean_relief + canopy + (1|location),mean_relief + canopy,954.6026208936614,-469.6926147946568,0.1445069163394255,0.14450691838820307,93,2,958.6026208936614,1.5215630809022969,3.521563080902297
bait + sd_relief + canopy + (1|location),sd_relief + canopy,955.296526414948,-470.03956755530004,0.1413344424585909,0.14133444481794571,93,2,959.296526414948,2.215468602188821,4.215468602188821
bait + depth_m + ecklonia + (1|location),depth_m + ecklonia,956.7519376344875,-470.7672731650698,0.12334614524360515,0.12334614706682635,93,2,960.7519376344875,3.670879821728363,5.670879821728363
bait + mean_relief + ecklonia + (1|location),mean_relief + ecklonia,956.9644248797443,-470.87351678769824,0.11843289971429391,0.1184329013349653,93,2,960.9644248797443,3.8833670669852154,5.883367066985215
bait + sd_relief + ecklonia + (1|location),sd_relief + ecklonia,957.0832224267414,-470.93291556119675,0.12113317307419925,0.12113317437349698,93,2,961.0832224267414,4.002164613982245,6.002164613982245
bait + scytothalia + depth_m + ecklonia + (1|location),scytothalia + depth_m + ecklonia,955.2849129681573,-468.85124769286983,0.1609744373553812,0.1609744387892415,92,3,961.2849129681573,2.2038551553981733,6.203855155398173
bait + macroalgae + ecklonia + (1|location),macroalgae + ecklonia,957.3911671995044,-471.08688794757825,0.11936131461141751,0.11936131755665269,93,2,961.3911671995044,4.310109386745239,6.310109386745239
bait + mean_relief + canopy + depth_m + (1|location),mean_relief + canopy + depth_m,955.6427779384098,-469.0301801779961,0.15695034002504193,0.1569503419379023,92,3,961.6427779384098,2.5617201256507087,6.561720125650709
bait + scytothalia + macroalgae + ecklonia + (1|location),scytothalia + macroalgae + ecklonia,955.751174120241,-469.0843782689117,0.1595410003986564,0.1595410015601297,92,3,961.751174120241,2.6701163074818623,6.670116307481862
bait + macroalgae + (1|location),macroalgae,960.1120051280024,-473.6043896607754,0.06812315648745734,0.06812316321125558,94,1,962.1120051280024,7.030947315243225,7.030947315243225
bait + mean_relief + scytothalia + ecklonia + (1|location),mean_relief + scytothalia + ecklonia,956.235871675913,-469.3267270467477,0.15074097103902936,0.1507409724726638,92,3,962.235871675913,3.1548138631538905,7.1548138631538905
bait + sd_relief + scytothalia + ecklonia + (1|location),sd_relief + scytothalia + ecklonia,956.329881899405,-469.3737321584937,0.15274200633691826,0.152742007913386,92,3,962.329881899405,3.248824086645868,7.248824086645868
bait + sd_relief + canopy + depth_m + (1|location),sd_relief + canopy + depth_m,956.6338197364973,-469.52570107703986,0.15021848006001862,0.15021848167396626,92,3,962.6338197364973,3.552761923738217,7.552761923738217
bait + mean_relief + sd_relief + canopy + (1|location),mean_relief + sd_relief + canopy,956.684681333973,-469.5511318757777,0.14613999867060137,0.14614000143507502,92,3,962.684681333973,3.6036235212138763,7.603623521213876
bait,none,963.252008788296,-476.3068554579778,0.010883889183797922,0.010883902833586255,95,0,963.252008788296,10.170950975536925,8.170950975536925
bait + mean_relief + (1|location),mean_relief,961.3839008416803,-474.24033751761436,0.053495473411696144,0.0534955008282407,94,1,963.3839008416803,8.302843028921188,8.302843028921188
bait + mean_relief + depth_m + ecklonia + (1|location),mean_relief + depth_m + ecklonia,957.8584619234576,-470.13802217052,0.1321604137401886,0.1321604156092399,92,3,963.8584619234576,4.777404110698512,8.777404110698512
bait + mean_relief + macroalgae + (1|location),mean_relief + macroalgae,959.8859222994413,-472.3342654975467,0.09646801507733072,0.09646801895734072,93,2,963.8859222994413,6.804864486682163,8.804864486682163
bait + mean_relief + sd_relief + ecklonia + (1|location),mean_relief + sd_relief + ecklonia,958.087599521068,-470.2525909693252,0.12822689290366188,0.12822689497197234,92,3,964.087599521068,5.006541708308873,9.006541708308873
bait + macroalgae + depth_m + ecklonia + (1|location),macroalgae + depth_m + ecklonia,958.2077021707854,-470.3126422941839,0.13323539221906933,0.13323539419585367,92,3,964.2077021707854,5.126644358026283,9.126644358026283
bait + sd_relief + depth_m + ecklonia + (1|location),sd_relief + depth_m + ecklonia,958.6051298823354,-470.5113561499589,0.12818565152188988,0.1281856536749081,92,3,964.6051298823354,5.5240720695762775,9.5240720695762775
bait + sd_relief + macroalgae + ecklonia + (1|location),sd_relief + macroalgae + ecklonia,958.7014887133474,-470.5595355654649,0.12886746852067016,0.12886747017839156,92,3,964.7014887133474,5.620430900588303,9.620430900588303
bait + mean_relief + macroalgae + ecklonia + (1|location),mean_relief + macroalgae + ecklonia,958.7671793771236,-470.592380897353,0.1254269186061024,0.12542692168509845,92,3,964.7671793771236,5.686121564364498,9.686121564364498
bait + macroalgae + depth_m + (1|location),macroalgae + depth_m,961.3246222438116,-473.0536154697319,0.08210258855104302,0.082102592396646,93,2,965.3246222438116,8.243564431052505,10.243564431052505
bait + sd_relief + macroalgae + (1|location),sd_relief + macroalgae,961.6301087112583,-473.20635870345524,0.07773991298415359,0.0777399193947226,93,2,965.6301087112583,8.549050898499218,10.549050898499218
bait + scytothalia + (1|location),scytothalia,963.8498660691633,-475.4733201313559,0.03056039010533973,0.030560398472731565,94,1,965.8498660691633,10.768808256404213,10.768808256404213
bait + scytothalia + macroalgae + (1|location),scytothalia + macroalgae,962.4195284674903,-473.6010685815712,0.06834781557652567,0.06834782203745714,93,2,966.4195284674903,9.338470654731168,11.338470654731168
bait + mean_relief + scytothalia + (1|location),mean_relief + scytothalia,962.5054595794749,-473.6440341375635,0.06712725491596974,0.06712726242404404,93,2,966.5054595794749,9.424401766715732,11.424401766715732
