scientific,family,genus,species,total_count,n_drops,mean_count,min_count,max_count,abalone,octopus,pilchard
Labridae Notolabrus parilus,Labridae,Notolabrus,parilus,170,98,1.7,0,5,34,29,35
Labridae Ophthalmolepis lineolatus,Labridae,Ophthalmolepis,lineolatus,672,98,6.72,0,23,34,30,34
Labridae Pseudolabrus biserialis,Labridae,Pseudolabrus,biserialis,437,93,4.37,0,16,32,26,35
Monacanthidae Meuschenia galii,Monacanthidae,Meuschenia,galii,151,84,1.51,0,5,33,25,26
Labridae Achoerodus gouldii,Labridae,Achoerodus,gouldii,113,79,1.13,0,6,29,22,28
Scorpididae Scorpis aequipinnis,Scorpididae,Scorpis,aequipinnis,245,79,2.45,0,14,32,24,23
Cheilodactylidae Nemadactylus valenciennesi,Cheilodactylidae,Nemadactylus,valenciennesi,132,77,1.32,0,5,28,21,28
Labridae Bodianus frenchii,Labridae,Bodianus,frenchii,91,63,0.91,0,3,22,22,19
Monacanthidae Meuschenia flavolineata,Monacanthidae,Meuschenia,flavolineata,114,63,1.14,0,4,25,19,19
Cheilodactylidae Cheilodactylus nigripes,Cheilodactylidae,Cheilodactylus,nigripes,71,56,0.71,0,2,19,17,20
Labridae Olisthops cyanomelas,Labridae,Olisthops,cyanomelas,68,56,0.68,0,3,21,13,22
Monacanthidae Meuschenia hippocrepis,Monacanthidae,Meuschenia,hippocrepis,119,56,1.19,0,7,24,17,15
Girellidae Girella tephraeops,Girellidae,Girella,tephraeops,159,52,1.59,0,10,19,15,18
Pomacentridae Parma victoriae,Pomacentridae,Parma,victoriae,54,46,0.54,0,2,19,17,10
Labridae Austrolabrus maculatus,Labridae,Austrolabrus,maculatus,56,42,0.56,0,3,15,10,17
Kyphosidae Kyphosus sydneyanus,Kyphosidae,Kyphosus,sydneyanus,75,40,0.75,0,14,16,12,12
Microcanthidae Tilodon sexfasciatus,Microcanthidae,Tilodon,sexfasciatus,50,37,0.5,0,3,15,10,12
Serranidae Epinephelides armatus,Serranidae,Epinephelides,armatus,44,37,0.44,0,2,15,9,13
